,DATE,Kernel
0,2009-01-02,2.3581367476635338
1,2009-01-05,3.658581983285524
2,2009-01-06,4.119422512954767
3,2009-01-07,4.287130718733181
4,2009-01-08,4.057163469910055
5,2009-01-09,3.8196891272040836
6,2009-01-12,3.055269051879087
7,2009-01-13,5.2814547527780835
8,2009-01-14,4.272025597762296
9,2009-01-15,7.2777024574064875
10,2009-01-16,6.383199967184516
11,2009-01-20,6.605322748742499
12,2009-01-21,6.981793871488644
13,2009-01-22,9.602567050923925
14,2009-01-23,8.045001661208193
15,2009-01-26,7.311156609436786
16,2009-01-27,4.5998449158874
17,2009-01-28,3.486943835746177
18,2009-01-29,4.101823864896925
19,2009-01-30,5.1007461961464236
20,2009-02-02,4.051683730118487
21,2009-02-03,3.4072202901148714
22,2009-02-04,4.549107381635208
23,2009-02-05,4.565136449573184
24,2009-02-06,3.9258964534281287
25,2009-02-09,2.881837168813973
26,2009-02-10,6.74290246056821
27,2009-02-11,5.231013491198316
28,2009-02-12,5.459377077708514
29,2009-02-13,4.0055697947954645
30,2009-02-17,4.759065932411459
31,2009-02-18,4.849882780375351
32,2009-02-19,3.6884329995561913
33,2009-02-20,6.662371058515383
34,2009-02-23,4.137332359371411
35,2009-02-24,5.835068785252232
36,2009-02-25,6.4415105866207565
37,2009-02-26,5.011534083884327
38,2009-02-27,6.889313077620523
39,2009-03-02,6.2600606476046865
40,2009-03-03,7.456626984673311
41,2009-03-04,5.868044677540047
42,2009-03-05,6.803737573948438
43,2009-03-06,8.053207010970885
44,2009-03-09,6.850405631102111
45,2009-03-10,4.914131353397764
46,2009-03-11,5.815095390056971
47,2009-03-12,4.536389326850431
48,2009-03-13,3.890067345702898
49,2009-03-16,4.2107067045497235
50,2009-03-17,4.8624166230780945
51,2009-03-18,6.64165972031288
52,2009-03-19,4.971328638753425
53,2009-03-20,3.4665712955865975
54,2009-03-23,4.491805762777363
55,2009-03-24,5.1293063822615705
56,2009-03-25,5.627130217102574
57,2009-03-26,5.158889484657087
58,2009-03-27,3.370494414968307
59,2009-03-30,3.047281431379645
60,2009-03-31,2.819186423676588
61,2009-04-01,3.775935619240514
62,2009-04-02,3.6758407584898407
63,2009-04-03,3.826997914399449
64,2009-04-06,3.7021313650893894
65,2009-04-07,2.2137296309406302
66,2009-04-08,2.967510621428064
67,2009-04-09,1.8740691425295284
68,2009-04-13,1.6923428013282262
69,2009-04-14,1.905031104215195
70,2009-04-15,1.9740835618802408
71,2009-04-16,2.282179270286856
72,2009-04-17,2.0328172002989664
73,2009-04-20,1.4949506714600393
74,2009-04-21,2.5817672677066144
75,2009-04-22,2.9840017718367755
76,2009-04-23,3.1866733487539634
77,2009-04-24,2.5064745034798603
78,2009-04-27,2.592440924465415
79,2009-04-28,2.0903179538536043
80,2009-04-29,2.761990133943119
81,2009-04-30,3.0141849152405134
82,2009-05-01,2.203334771777126
83,2009-05-04,1.6142398170003196
84,2009-05-05,1.7481629687229097
85,2009-05-06,2.1142519437209164
86,2009-05-07,2.9804301450985755
87,2009-05-08,2.3058308187588343
88,2009-05-11,1.7579499170214123
89,2009-05-12,1.6331150100309464
90,2009-05-13,2.592136528925719
91,2009-05-14,2.194084307481093
92,2009-05-15,1.7098585619888322
93,2009-05-18,1.2642080307231176
94,2009-05-19,1.7552206051728945
95,2009-05-20,1.8530289189009324
96,2009-05-21,2.4203501764359676
97,2009-05-22,2.1711065796674056
98,2009-05-26,1.9078220374978003
99,2009-05-27,2.771338670908335
100,2009-05-28,2.7028837818833273
101,2009-05-29,2.309998359248159
102,2009-06-01,1.2814739739737695
103,2009-06-02,1.4162380636009666
104,2009-06-03,1.3113995494200557
105,2009-06-04,1.20295898130806
106,2009-06-05,2.492146291073915
107,2009-06-08,1.71148360727045
108,2009-06-09,1.305699166058009
109,2009-06-10,1.8456361185151078
110,2009-06-11,1.3614318314677114
111,2009-06-12,1.0471330707653215
112,2009-06-15,1.4185873724658327
113,2009-06-16,1.8173306618187994
114,2009-06-17,2.0142173654340807
115,2009-06-18,2.1285484885125596
116,2009-06-19,1.3590904959655488
117,2009-06-22,1.772133870904564
118,2009-06-23,2.2639264403421504
119,2009-06-24,2.1446077610232415
120,2009-06-25,1.9699124308934002
121,2009-06-26,2.328198066189803
122,2009-06-29,1.232126289541561
123,2009-06-30,1.9070360814399665
124,2009-07-01,1.4094325538716679
125,2009-07-02,1.1478990717376854
126,2009-07-06,1.7637938087085876
127,2009-07-07,1.9782754407552612
128,2009-07-08,2.3937161891750245
129,2009-07-09,2.35578269204824
130,2009-07-10,2.1408601938868954
131,2009-07-13,1.9915080912836196
132,2009-07-14,1.5136122392503473
133,2009-07-15,1.467139827865456
134,2009-07-16,1.252721097900992
135,2009-07-17,1.0705602694412637
136,2009-07-20,1.4247283712955425
137,2009-07-21,1.717658395094591
138,2009-07-22,1.3189082680791337
139,2009-07-23,1.4093439982766967
140,2009-07-24,1.1397370846105135
141,2009-07-27,1.245225073121508
142,2009-07-28,1.9200974315361243
143,2009-07-29,2.5973877381586523
144,2009-07-30,1.5037095580218671
145,2009-07-31,2.0834168750474538
146,2009-08-03,1.2224708286726038
147,2009-08-04,1.3795041822933
148,2009-08-05,1.5344935776224626
149,2009-08-06,1.0851579226743453
150,2009-08-07,1.3399096973682767
151,2009-08-10,0.7928750682649687
152,2009-08-11,0.8708034708129164
153,2009-08-12,1.56965041747619
154,2009-08-13,0.8784946065411083
155,2009-08-14,1.3826262755719076
156,2009-08-17,1.4020914655883938
157,2009-08-18,0.8896298267182328
158,2009-08-19,1.4728761618788027
